map_family,map_size,map,slip,budget_frac,solver,n_states,n_basis,n_start_boundary,n_oracle_pool,oracle_pool_mode,oracle_pool_truncated,oracle_complete_candidate_universe,max_extra_splits,oracle_evaluated_subsets,oracle_time_sec,beam_width,beam_expand,selection_time_sec,start_boundary,oracle_extra,chosen_extra,oracle_boundary,chosen_boundary,same_boundary_as_oracle,extra_jaccard_with_oracle,operator_top_rank_in_oracle_extra,first_selected,first_selected_in_oracle_extra,oracle_total_violation,chosen_total_violation,total_violation_gap,oracle_max_violation,chosen_max_violation,max_violation_gap,oracle_all_feasible,chosen_all_feasible,oracle_test_bits_cvar,chosen_test_bits_cvar,test_bits_cvar_gap,chosen_stop_reason,chosen_path,budgets,initial_group_risks
open_room,5,open_room_5,0.0,0.1,operator,25,5,2,3,all,False,True,2,7,2.1586864040000364,1,6,0.19939874403644353,"[0, 24]",[4],[],"[0, 4, 24]","[0, 24]",False,0.0,1,,False,101.04419805007842,139.90735114626443,38.86315309618601,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,77.72630619236912,38.863153096186004,no_positive_violation_reduction,[],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
open_room,5,open_room_5,0.0,0.1,operator,25,5,2,3,all,False,True,2,7,2.1586864040000364,2,6,1.3474634719314054,"[0, 24]",[4],[4],"[0, 4, 24]","[0, 4, 24]",True,1.0,1,4,True,101.04419805007842,101.04419805007842,0.0,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,38.86315309618312,0.0,budget_not_met,[4],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
open_room,5,open_room_5,0.0,0.1,operator,25,5,2,3,all,False,True,2,7,2.1586864040000364,4,6,1.9989911139709875,"[0, 24]",[4],[4],"[0, 4, 24]","[0, 4, 24]",True,1.0,1,4,True,101.04419805007842,101.04419805007842,0.0,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,38.86315309618312,0.0,budget_not_met,[4],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
open_room,5,open_room_5,0.0,0.1,operator,25,5,2,3,all,False,True,2,7,2.1586864040000364,8,6,1.9469256059965119,"[0, 24]",[4],[4],"[0, 4, 24]","[0, 4, 24]",True,1.0,1,4,True,101.04419805007842,101.04419805007842,0.0,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,38.86315309618312,0.0,budget_not_met,[4],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
open_room,5,open_room_5,0.0,0.1,actual_refine,25,5,2,3,all,False,True,2,7,2.1586864040000364,1,6,2.4707796869333833,"[0, 24]",[4],[4],"[0, 4, 24]","[0, 4, 24]",True,1.0,1,4,True,101.04419805007842,101.04419805007842,0.0,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,38.86315309618312,0.0,actual_refine_budget_not_met,[4],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
open_room,5,open_room_5,0.0,0.1,actual_refine,25,5,2,3,all,False,True,2,7,2.1586864040000364,2,6,3.3867619190132245,"[0, 24]",[4],[4],"[0, 4, 24]","[0, 4, 24]",True,1.0,1,4,True,101.04419805007842,101.04419805007842,0.0,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,38.86315309618312,0.0,actual_refine_budget_not_met,[4],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
open_room,5,open_room_5,0.0,0.1,actual_refine,25,5,2,3,all,False,True,2,7,2.1586864040000364,4,6,4.467289124964736,"[0, 24]",[4],[4],"[0, 4, 24]","[0, 4, 24]",True,1.0,1,4,True,101.04419805007842,101.04419805007842,0.0,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,38.86315309618312,0.0,actual_refine_budget_not_met,[4],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
open_room,5,open_room_5,0.0,0.1,actual_refine,25,5,2,3,all,False,True,2,7,2.1586864040000364,8,6,4.2415868090465665,"[0, 24]",[4],[4],"[0, 4, 24]","[0, 4, 24]",True,1.0,1,4,True,101.04419805007842,101.04419805007842,0.0,69.95367557313222,69.95367557313222,0.0,False,False,38.86315309618312,38.86315309618312,0.0,actual_refine_budget_not_met,[4],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 7.772630619236913}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 77.72630619236912}"
random_maze,5,random_maze_5_seed9,0.0,0.1,operator,7,4,2,2,all,False,True,2,4,0.3173440790269524,1,6,0.04366303700953722,"[0, 6]",[2],[],"[0, 2, 6]","[0, 6]",False,0.0,1,,False,31.090522476946205,69.95367557313222,38.86315309618601,31.090522476946205,69.95367557313222,38.86315309618601,False,False,0.0,77.72630619236912,77.72630619236912,no_positive_violation_reduction,[],"{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 0.0}"
random_maze,5,random_maze_5_seed9,0.0,0.1,operator,7,4,2,2,all,False,True,2,4,0.3173440790269524,2,6,0.24596864799968898,"[0, 6]",[2],"[2, 4]","[0, 2, 6]","[0, 2, 4, 6]",False,0.5,1,2,True,31.090522476946205,31.090522476946205,0.0,31.090522476946205,31.090522476946205,0.0,False,False,0.0,0.0,0.0,feasible,"[2, 4]","{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 0.0}"
random_maze,5,random_maze_5_seed9,0.0,0.1,operator,7,4,2,2,all,False,True,2,4,0.3173440790269524,4,6,0.24634530500043184,"[0, 6]",[2],"[2, 4]","[0, 2, 6]","[0, 2, 4, 6]",False,0.5,1,2,True,31.090522476946205,31.090522476946205,0.0,31.090522476946205,31.090522476946205,0.0,False,False,0.0,0.0,0.0,feasible,"[2, 4]","{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 0.0}"
random_maze,5,random_maze_5_seed9,0.0,0.1,operator,7,4,2,2,all,False,True,2,4,0.3173440790269524,8,6,0.24592526291962713,"[0, 6]",[2],"[2, 4]","[0, 2, 6]","[0, 2, 4, 6]",False,0.5,1,2,True,31.090522476946205,31.090522476946205,0.0,31.090522476946205,31.090522476946205,0.0,False,False,0.0,0.0,0.0,feasible,"[2, 4]","{""stochastic"": 0.0, ""topology"": 7.772630619236913, ""value"": 0.0}","{""stochastic"": 0.0, ""topology"": 77.72630619236912, ""value"": 0.0}"
